isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.5315.2	chr2	-	4270	27	novel_not_in_catalog	STAT1	novel	663	3	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	8	NA	TRUE	NA	NA	NA	C	coding	781	2346	372	2717	15.0
PB.747.3	chr1	+	3226	6	full-splice_match	MPZL1	ENST00000359523.6	5010	6	29	1755	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	269	810	174	983	25.0
PB.3265.1	chr16	-	4365	4	full-splice_match	THUMPD1	ENST00000396083.6	2624	4	-34	-1707	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	4	NA	TRUE	NA	NA	NA	C	coding	353	1062	92	1153	35.0
PB.8294.6	chr8	-	1969	10	full-splice_match	CTSB	ENST00000353047.10	3875	10	115	1791	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	339	1020	140	1159	25.0
PB.8294.7	chr8	-	2056	11	full-splice_match	CTSB	ENST00000533455.5	2009	11	-12	-35	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	339	1020	232	1251	25.0
PB.4387.1	chr19	+	670	2	full-splice_match	TRAPPC5	ENST00000596148.2	5498	2	-20	4848	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	188	567	69	635	5.0
PB.8294.5	chr8	-	2207	10	full-splice_match	CTSB	ENST00000353047.10	3875	10	138	1530	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	339	1020	117	1136	5.0
PB.7245.1	chr5	-	2531	26	full-splice_match	ANXA6	ENST00000354546.9	2593	26	65	-3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	673	2022	164	2185	20.0
PB.8294.3	chr8	-	3631	10	full-splice_match	CTSB	ENST00000353047.10	3875	10	117	127	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	339	1020	138	1157	90.0
PB.7245.2	chr5	-	2470	25	novel_in_catalog	ANXA6	novel	451	4	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	667	2004	128	2131	35.0
PB.5770.3	chr21	+	2255	11	novel_not_in_catalog	IFNAR1	novel	250	2	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	25	4	TRUE	NA	NA	NA	B	coding	312	939	294	1232	10.0
PB.5770.1	chr21	+	2360	11	novel_in_catalog	IFNAR1	novel	250	2	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	B	coding	488	1467	407	1873	30.0
PB.32.3	chr1	+	1474	8	novel_not_in_catalog	RER1	novel	3000	6	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	196	591	245	835	25.0
PB.318.1	chr1	-	1746	16	full-splice_match	MUTYH	ENST00000448481.5	1706	16	-40	0	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	532	1599	84	1682	10.0
PB.6377.1	chr3	-	2548	15	full-splice_match	IQCB1	ENST00000310864.10	2594	15	46	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	1	TRUE	NA	NA	NA	C	coding	598	1797	170	1966	15.0
PB.7134.1	chr5	+	2344	14	full-splice_match	GRAMD3	ENST00000285689.7	3175	14	371	460	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	432	1299	91	1389	20.0
PB.62.1	chr1	-	2260	12	full-splice_match	SLC2A5	ENST00000377424.8	4165	12	64	1841	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	501	1506	117	1622	25.0
PB.2676.1	chr14	+	1697	10	full-splice_match	SNAPC1	ENST00000216294.4	2656	10	12	947	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	368	1107	93	1199	45.0
PB.2676.2	chr14	+	1872	10	full-splice_match	SNAPC1	ENST00000216294.4	2656	10	20	764	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	5	NA	TRUE	NA	NA	NA	C	coding	368	1107	85	1191	40.0
PB.8049.2	chr7	-	2093	11	full-splice_match	FAM133B	ENST00000445716.5	2026	11	4	-71	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	247	744	100	843	20.0
PB.6344.2	chr3	-	1606	11	full-splice_match	IFT57	ENST00000264538.3	3203	11	139	1458	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	429	1290	110	1399	40.0
PB.8049.1	chr7	-	2327	11	full-splice_match	FAM133B	ENST00000445716.5	2026	11	4	-305	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	247	744	100	843	35.0
PB.5145.2	chr2	-	1280	5	full-splice_match	TXNDC9	ENST00000264255.7	1637	5	129	228	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	226	681	128	808	30.0
PB.5685.1	chr20	-	1848	1	incomplete-splice_match	ZNF217	ENST00000371471.6	5796	6	24923	4	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	A	non_coding	NA	NA	NA	NA	15.0
PB.1620.1	chr11	-	2087	2	full-splice_match	B4GAT1	ENST00000311181.4	2072	2	-16	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	415	1248	164	1411	10.0
PB.1620.2	chr11	-	1715	2	full-splice_match	B4GAT1	ENST00000311181.4	2072	2	23	334	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	415	1248	125	1372	25.0
PB.7650.3	chr6	-	3724	17	incomplete-splice_match	MDN1	ENST00000369393.7	18413	102	156806	287	5prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	B	coding	834	2505	1	2505	20.0
PB.3961.1	chr17	-	3607	2	incomplete-splice_match	TRIM25	ENST00000537230.2	2906	10	22452	-2757	5prime_fragment	FALSE	non_canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	non_coding	NA	NA	NA	NA	15.0
PB.2737.1	chr14	+	3597	10	full-splice_match	FLVCR2	ENST00000238667.8	3632	10	28	7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	15	NA	TRUE	NA	NA	NA	A	coding	526	1581	329	1909	25.0
PB.2878.1	chr15	+	2575	12	novel_not_in_catalog	SPINT1	novel	2456	11	NA	NA	any annotated donor/acceptor	TRUE	non_canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	523	1572	325	1896	5.0
PB.2878.2	chr15	+	2425	11	full-splice_match	SPINT1	ENST00000562057.5	2456	11	30	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	513	1542	205	1746	5.0
PB.2878.3	chr15	+	2400	11	novel_in_catalog	SPINT1	novel	2456	11	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	507	1524	198	1721	5.0
PB.2878.4	chr15	+	2349	10	incomplete-splice_match	SPINT1	ENST00000344051.8	3056	11	458	552	5prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	529	1590	80	1669	0.0
PB.3732.3	chr17	+	5923	37	full-splice_match	SUPT6H	ENST00000314616.10	6523	37	148	452	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	1726	5181	136	5316	15.0
PB.7755.1	chr6	-	3848	8	full-splice_match	NUP43	ENST00000340413.6	3874	8	23	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	4	NA	TRUE	NA	NA	NA	C	coding	380	1143	55	1197	20.0
PB.3732.1	chr17	+	6049	38	full-splice_match	SUPT6H	ENST00000347486.8	5569	38	13	-493	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	52	6	TRUE	NA	NA	NA	C	coding	1726	5181	266	5446	20.0
PB.7869.1	chr7	+	1638	3	incomplete-splice_match	AC005682.5	ENST00000415611.7	1099	4	78	937	3prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	A	non_coding	NA	NA	NA	NA	20.0
PB.2698.1	chr14	+	2944	7	full-splice_match	RAD51B	ENST00000390683.7	922	7	-23	-1999	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	279	840	68	907	80.0
PB.670.1	chr1	-	2761	11	novel_not_in_catalog	RP11-29H23.5	novel	2505	9	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	5	2	TRUE	NA	NA	NA	A	coding	750	2253	306	2558	15.0
PB.670.3	chr1	-	2722	11	full-splice_match	YY1AP1	ENST00000355499.8	2663	11	-68	9	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	750	2253	268	2520	15.0
PB.670.2	chr1	-	2536	10	full-splice_match	YY1AP1	ENST00000368330.6	2555	10	10	9	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	750	2253	82	2334	15.0
PB.9027.1	chrX	+	4153	15	full-splice_match	MOSPD2	ENST00000380492.7	4163	15	4	6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	518	1557	85	1641	40.0
PB.670.4	chr1	-	2662	11	full-splice_match	YY1AP1	ENST00000404643.5	2654	11	-19	11	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	9	NA	TRUE	NA	NA	NA	C	coding	730	2193	270	2462	15.0
PB.849.2	chr1	+	4286	20	novel_not_in_catalog	SRGAP2	novel	1108	3	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	6	1	TRUE	NA	NA	NA	B	coding	519	1560	652	2211	20.0
PB.7535.1	chr6	+	3477	13	full-splice_match	TBC1D22B	ENST00000373491.3	3462	13	-18	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	A	coding	505	1518	165	1682	5.0
PB.8562.1	chr8	+	706	4	full-splice_match	NDUFB9	ENST00000276689.7	711	4	5	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	179	540	80	619	15.0
PB.8924.1	chr9	+	2240	1	incomplete-splice_match	PRRC2B	ENST00000405995.5	9157	31	103854	11	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	B	non_coding	NA	NA	NA	NA	55.0
PB.477.3	chr1	+	3700	6	novel_not_in_catalog	PRPF38B	novel	3693	6	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	384	1155	768	1922	35.0
PB.4744.1	chr19	+	1351	13	full-splice_match	GLTSCR2	ENST00000246802.9	1528	13	175	2	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	29	90	1211	1300	15.0
PB.4744.2	chr19	+	2155	12	novel_in_catalog	GLTSCR2	novel	1528	13	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	non_coding	NA	NA	NA	NA	15.0
PB.8131.3	chr7	+	2935	16	novel_in_catalog	KMT2E	novel	6874	27	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	B	coding	733	2202	445	2646	15.0
PB.9179.1	chrX	+	4164	9	full-splice_match	ZNF711	ENST00000373165.7	4124	9	-41	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	761	2286	348	2633	30.0
PB.7875.1	chr7	-	4273	15	full-splice_match	IGF2BP3	ENST00000258729.7	4250	15	-24	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	8	NA	TRUE	NA	NA	NA	A	coding	579	1740	382	2121	15.0
PB.1729.1	chr11	+	3365	14	full-splice_match	TMEM135	ENST00000340353.11	3938	14	6	567	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	436	1311	197	1507	45.0
PB.1729.2	chr11	+	3119	15	full-splice_match	TMEM135	ENST00000305494.5	2433	15	-71	-615	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	4	NA	TRUE	NA	NA	NA	C	coding	458	1377	111	1487	30.0
PB.1729.3	chr11	+	3675	15	full-splice_match	TMEM135	ENST00000305494.5	2433	15	-66	-1176	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	458	1377	106	1482	35.0
PB.2176.3	chr12	-	2512	5	full-splice_match	SLC6A15	ENST00000450363.3	4229	5	71	1646	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	289	870	389	1258	35.0
PB.2176.2	chr12	-	2808	5	full-splice_match	SLC6A15	ENST00000450363.3	4229	5	-67	1488	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	289	870	527	1396	20.0
PB.2176.1	chr12	-	3641	12	full-splice_match	SLC6A15	ENST00000266682.9	4879	12	75	1163	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	730	2193	468	2660	20.0
PB.3291.2	chr16	+	2087	9	full-splice_match	IL21R	ENST00000395754.4	2953	9	25	841	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	538	1617	110	1726	25.0
PB.4397.1	chr19	+	1614	5	full-splice_match	RAB11B	ENST00000328024.10	1751	5	139	-2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	218	657	80	736	0.0
PB.4397.2	chr19	+	1405	5	full-splice_match	RAB11B	ENST00000328024.10	1751	5	162	184	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	218	657	57	713	15.0
PB.3291.1	chr16	+	2529	9	full-splice_match	IL21R	ENST00000395754.4	2953	9	25	399	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	538	1617	110	1726	10.0
PB.2529.3	chr14	-	2883	8	novel_in_catalog	HNRNPC	novel	3301	7	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	293	882	164	1045	20.0
PB.2529.2	chr14	-	2909	9	full-splice_match	HNRNPC	ENST00000553300.5	1375	9	18	-1552	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	coding	293	882	190	1071	20.0
PB.2529.1	chr14	-	3163	8	novel_not_in_catalog	HNRNPC	novel	3301	7	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	14	2	TRUE	NA	NA	NA	C	coding	301	906	185	1090	40.0
PB.5109.3	chr2	+	2802	24	full-splice_match	PTCD3	ENST00000254630.11	6734	24	53	3879	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	689	2070	14	2083	20.0
PB.2529.7	chr14	-	1780	8	novel_not_in_catalog	HNRNPC	novel	3301	7	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	4	1	TRUE	NA	NA	NA	C	coding	306	921	193	1113	50.0
PB.2529.6	chr14	-	1741	9	full-splice_match	HNRNPC	ENST00000553300.5	1375	9	15	-381	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	293	882	193	1074	50.0
PB.2529.5	chr14	-	2497	9	full-splice_match	HNRNPC	ENST00000554455.5	1784	9	-6	-707	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	4	NA	TRUE	NA	NA	NA	C	coding	306	921	197	1117	25.0
PB.2529.4	chr14	-	2453	8	novel_not_in_catalog	HNRNPC	novel	3301	7	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	6	2	TRUE	NA	NA	NA	C	coding	171	516	555	1070	25.0
PB.8486.5	chr8	+	1113	1	full-splice_match	ESRP1	ENST00000523347.1	1813	1	698	2	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	15.0
PB.2529.9	chr14	-	1744	8	novel_in_catalog	HNRNPC	novel	3301	7	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	293	882	197	1078	50.0
PB.2529.8	chr14	-	1769	8	full-splice_match	HNRNPC	ENST00000557201.5	1371	8	-17	-381	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	306	921	182	1102	50.0
PB.2690.1	chr14	+	3369	15	full-splice_match	MPP5	ENST00000261681.8	5552	15	326	1857	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	675	2028	336	2363	30.0
PB.2690.2	chr14	+	5128	16	novel_not_in_catalog	MPP5	novel	5552	15	NA	NA	any annotated donor/acceptor	FALSE	non_canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	675	2028	290	2317	40.0
PB.8486.4	chr8	+	3789	16	full-splice_match	ESRP1	ENST00000642581.1	3782	16	-8	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	681	2046	168	2213	10.0
PB.1180.1	chr10	-	1466	7	full-splice_match	PDLIM1	ENST00000329399.6	1452	7	-17	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	329	990	127	1116	20.0
PB.7626.1	chr6	-	2784	2	novel_in_catalog	FAM46A	novel	546	3	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	252	759	1975	2733	90.0
PB.7626.2	chr6	-	1723	3	full-splice_match	FAM46A	ENST00000369754.7	5664	3	27	3914	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	461	1386	287	1672	90.0
PB.7626.3	chr6	-	1709	3	full-splice_match	FAM46A	ENST00000320172.10	5609	3	-16	3916	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	433	1302	359	1660	85.0
PB.325.2	chr1	-	3007	9	novel_not_in_catalog	IPP	novel	1947	10	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	465	1398	136	1533	95.0
PB.6701.1	chr4	-	5947	23	full-splice_match	CLOCK	ENST00000513440.5	3580	23	162	-2529	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	6	1	TRUE	NA	NA	NA	A	coding	837	2514	512	3025	90.0
PB.325.1	chr1	-	3121	9	novel_not_in_catalog	IPP	novel	1947	10	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	8	1	TRUE	NA	NA	NA	C	coding	584	1755	137	1891	95.0
PB.4431.3	chr19	-	2042	10	full-splice_match	YIPF2	ENST00000253031.6	2087	10	13	32	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	316	951	115	1065	85.0
PB.4431.2	chr19	-	2110	10	full-splice_match	YIPF2	ENST00000586748.5	1550	10	-9	-551	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	316	951	183	1133	85.0
PB.4431.1	chr19	-	1994	9	novel_in_catalog	YIPF2	novel	2087	10	NA	NA	no_combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	11	NA	TRUE	NA	NA	NA	C	coding	111	336	141	476	50.0
PB.3033.3	chr15	-	3270	26	full-splice_match	MAN2C1	ENST00000267978.9	3284	26	12	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	1040	3123	36	3158	15.0
PB.2549.1	chr14	-	3115	9	full-splice_match	SLC7A8	ENST00000453702.5	1752	9	8	-1371	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	332	999	237	1235	20.0
PB.4431.4	chr19	-	1250	10	full-splice_match	YIPF2	ENST00000586748.5	1550	10	27	273	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	316	951	147	1097	40.0
PB.6894.1	chr4	-	2606	7	novel_not_in_catalog	RWDD4	novel	2641	8	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	4	2	TRUE	NA	NA	NA	A	coding	131	396	239	634	25.0
PB.1160.1	chr10	+	1977	11	full-splice_match	STAMBPL1	ENST00000371926.7	2532	11	550	5	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	436	1311	409	1719	35.0
PB.8791.1	chr9	-	2934	5	full-splice_match	KLF4	ENST00000374672.4	2813	5	-123	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	470	1413	625	2037	25.0
PB.4846.1	chr19	+	2049	2	full-splice_match	ZNF134	ENST00000597975.1	559	2	-13	-1477	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	254	765	764	1528	15.0
PB.5460.7	chr2	-	4435	28	full-splice_match	HDLBP	ENST00000391976.6	4489	28	51	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	1268	3807	243	4049	15.0
PB.6380.5	chr3	-	1911	14	novel_in_catalog	KPNA1	novel	6830	14	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	538	1617	75	1691	30.0
PB.4451.1	chr19	-	2274	4	full-splice_match	ZNF20	ENST00000334213.9	3061	4	28	759	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	532	1599	198	1796	25.0
PB.3536.1	chr16	-	724	6	full-splice_match	CYBA	ENST00000261623.7	797	6	66	7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	195	588	74	661	10.0
PB.3536.2	chr16	-	2098	1	novel_in_catalog	CYBA	novel	797	6	100	5672	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	C	coding	180	543	680	1222	95.0
PB.8441.1	chr8	+	2469	19	novel_not_in_catalog	CSPP1	novel	567	6	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	768	2304	165	2468	70.0
PB.7688.1	chr6	+	3856	4	full-splice_match	MFSD4B	ENST00000368847.4	5958	4	-9	2111	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	518	1557	363	1919	30.0
PB.2003.2	chr12	-	3519	10	full-splice_match	VDR	ENST00000549336.5	4644	10	10	1115	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	427	1284	142	1425	90.0
PB.7523.3	chr6	-	1919	11	full-splice_match	FKBP5	ENST00000357266.8	3772	11	-2	1855	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	457	1374	156	1529	25.0
PB.2003.1	chr12	-	4650	10	full-splice_match	VDR	ENST00000549336.5	4644	10	-7	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	427	1284	159	1442	25.0
PB.892.1	chr1	-	2550	4	full-splice_match	DUSP10	ENST00000366899.3	2676	4	54	72	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	A	coding	482	1449	186	1634	65.0
PB.6386.1	chr3	+	1439	7	full-splice_match	SEC22A	ENST00000492595.5	972	7	-15	-452	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	307	924	64	987	30.0
PB.3338.1	chr16	-	1126	3	full-splice_match	ZNF688	ENST00000223459.10	2506	3	1022	358	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	13	NA	TRUE	NA	NA	NA	A	coding	276	831	84	914	100.0
PB.8735.17	chr9	-	2042	16	novel_not_in_catalog	HNRNPK	novel	2928	17	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	2	1	TRUE	NA	NA	NA	B	coding	462	1389	213	1601	5.0
PB.6352.1	chr3	+	2118	6	full-splice_match	CD200	ENST00000315711.12	2129	6	8	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	269	810	50	859	35.0
PB.6386.2	chr3	+	3383	7	full-splice_match	SEC22A	ENST00000492595.5	972	7	0	-2411	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	21	NA	TRUE	NA	NA	NA	C	coding	307	924	49	972	25.0
PB.7541.1	chr6	-	3807	5	full-splice_match	KCNK5	ENST00000359534.3	3756	5	-52	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	499	1500	392	1891	5.0
PB.2380.2	chr13	-	4015	14	full-splice_match	MTMR6	ENST00000381801.5	5659	14	610	1034	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	5	NA	TRUE	NA	NA	NA	A	coding	621	1866	153	2018	15.0
PB.8984.1	chr9	+	4168	2	full-splice_match	TOR4A	ENST00000357503.2	4148	2	-23	3	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	423	1272	220	1491	15.0
PB.4605.1	chr19	+	489	4	full-splice_match	COX6B1	ENST00000246554.7	667	4	98	80	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	non_coding	NA	NA	NA	NA	25.0
